time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-06 09:30:00-04:00,BotStrategy,b31cb5fc8d2a4aff9ceb491e45d1d070,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,BotStrategy,b31cb5fc8d2a4aff9ceb491e45d1d070,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,117.0,0.0
2023-11-02 09:30:00-04:00,BotStrategy,96a9665ab5bb488389cba2af874bcd84,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,BotStrategy,1f10a4a34d4e4033b5ced970ee8a4943,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,BotStrategy,96a9665ab5bb488389cba2af874bcd84,SPY,sell,market,fill,1,day,0.0,1,stock,426.5799865722656,117.0,0.0
2023-11-02 09:30:00-04:00,BotStrategy,1f10a4a34d4e4033b5ced970ee8a4943,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,1.0,0.0
2023-11-13 09:30:00-05:00,BotStrategy,902eee15f3b944aa961bca37cfb9169b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,BotStrategy,902eee15f3b944aa961bca37cfb9169b,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,115.0,0.0
2023-11-16 09:30:00-05:00,BotStrategy,df76061690ed43ad8eb48eb30a688222,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,BotStrategy,bccc43b0f71a4e66ac495eacbc5735fc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,BotStrategy,df76061690ed43ad8eb48eb30a688222,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,116.0,0.0
2023-11-16 09:30:00-05:00,BotStrategy,bccc43b0f71a4e66ac495eacbc5735fc,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,225.0,0.0
